settlement_id,site_id,straight_line_distance_km,road_distance_km,estimated_travel_time_minutes
SET001,SITE001,37.13,50.13,86.0
SET001,SITE002,28.47,38.44,66.0
SET001,SITE003,12.13,16.38,28.0
SET001,SITE004,22.82,30.81,53.0
SET001,SITE005,29.14,39.34,67.0
SET001,SITE006,30.87,41.68,71.0
SET001,SITE007,21.49,29.02,50.0
SET001,SITE008,30.37,41.01,70.0
SET001,SITE009,25.26,34.1,58.0
SET001,SITE010,15.5,20.93,36.0
SET002,SITE001,44.7,60.35,103.0
SET002,SITE002,36.38,49.11,84.0
SET002,SITE003,19.26,26.01,45.0
SET002,SITE004,27.68,37.37,64.0
SET002,SITE005,32.91,44.42,76.0
SET002,SITE006,37.17,50.18,86.0
SET002,SITE007,28.98,39.12,67.0
SET002,SITE008,38.09,51.42,88.0
SET002,SITE009,33.17,44.77,77.0
SET002,SITE010,22.92,30.95,53.0
SET003,SITE001,27.89,37.65,65.0
SET003,SITE002,18.4,24.84,43.0
SET003,SITE003,6.28,8.48,15.0
SET003,SITE004,19.45,26.26,45.0
SET003,SITE005,26.78,36.16,62.0
SET003,SITE006,24.01,32.42,56.0
SET003,SITE007,12.91,17.43,30.0
SET003,SITE008,20.66,27.9,48.0
SET003,SITE009,15.23,20.57,35.0
SET003,SITE010,7.38,9.97,17.0
SET004,SITE001,21.3,28.75,49.0
SET004,SITE002,12.12,16.36,28.0
SET004,SITE003,10.23,13.81,24.0
SET004,SITE004,21.67,29.25,50.0
SET004,SITE005,29.03,39.19,67.0
SET004,SITE006,22.76,30.73,53.0
SET004,SITE007,7.44,10.04,17.0
SET004,SITE008,15.59,21.04,36.0
SET004,SITE009,8.61,11.62,20.0
SET004,SITE010,8.28,11.17,19.0
SET005,SITE001,23.06,31.13,53.0
SET005,SITE002,16.09,21.73,37.0
SET005,SITE003,11.37,15.35,26.0
SET005,SITE004,24.09,32.53,56.0
SET005,SITE005,31.51,42.54,73.0
SET005,SITE006,26.62,35.94,62.0
SET005,SITE007,7.52,10.15,17.0
SET005,SITE008,19.95,26.94,46.0
SET005,SITE009,12.27,16.56,28.0
SET005,SITE010,10.86,14.66,25.0
SET006,SITE001,31.03,41.89,72.0
SET006,SITE002,18.99,25.63,44.0
SET006,SITE003,0.01,0.01,0.0
SET006,SITE004,13.18,17.79,31.0
SET006,SITE005,20.5,27.67,47.0
SET006,SITE006,18.97,25.6,44.0
SET006,SITE007,17.57,23.71,41.0
SET006,SITE008,19.26,26.0,45.0
SET006,SITE009,16.92,22.85,39.0
SET006,SITE010,3.88,5.24,9.0
SET007,SITE001,37.48,50.6,87.0
SET007,SITE002,25.3,34.15,59.0
SET007,SITE003,6.48,8.75,15.0
SET007,SITE004,12.0,16.19,28.0
SET007,SITE005,18.25,24.64,42.0
SET007,SITE006,21.31,28.76,49.0
SET007,SITE007,23.57,31.82,55.0
SET007,SITE008,24.91,33.63,58.0
SET007,SITE009,23.39,31.57,54.0
SET007,SITE010,10.04,13.55,23.0
SET008,SITE001,39.54,53.37,91.0
SET008,SITE002,25.72,34.73,60.0
SET008,SITE003,10.46,14.12,24.0
SET008,SITE004,4.72,6.37,11.0
SET008,SITE005,10.72,14.47,25.0
SET008,SITE006,15.73,21.23,36.0
SET008,SITE007,27.59,37.25,64.0
SET008,SITE008,23.47,31.69,54.0
SET008,SITE009,24.98,33.72,58.0
SET008,SITE010,12.01,16.21,28.0
SET009,SITE001,17.52,23.65,41.0
SET009,SITE002,7.01,9.46,16.0
SET009,SITE003,13.57,18.32,31.0
SET009,SITE004,22.7,30.64,53.0
SET009,SITE005,29.74,40.15,69.0
SET009,SITE006,21.09,28.47,49.0
SET009,SITE007,7.64,10.32,18.0
SET009,SITE008,11.21,15.13,26.0
SET009,SITE009,3.57,4.82,8.0
SET009,SITE010,10.43,14.08,24.0
SET010,SITE001,18.39,24.82,43.0
SET010,SITE002,15.78,21.3,37.0
SET010,SITE003,33.79,45.62,78.0
SET010,SITE004,35.78,48.31,83.0
SET010,SITE005,40.11,54.15,93.0
SET010,SITE006,26.23,35.41,61.0
SET010,SITE007,27.03,36.49,63.0
SET010,SITE008,14.82,20.0,34.0
SET010,SITE009,19.5,26.33,45.0
SET010,SITE010,29.92,40.39,69.0
