site_id,site_name,latitude,longitude,district,state,flood_risk,landslide_risk,slope,elevation,soil_stability,distance_to_river,distance_to_protected_area,distance_to_road,existing_built_up,available_land_area,water_availability,healthcare_access,education_access,electricity_access,land_use_type
SITE001,Mananthavady,11.8296,75.9409,Wayanad,Kerala,0.22,0.28,8,793,0.78,4.8,12.0,1.2,0.35,32.5,0.82,0.78,0.75,0.90,agricultural
SITE002,Vellamunda,11.8040,76.0740,Wayanad,Kerala,0.30,0.35,10,820,0.72,3.6,10.5,2.0,0.25,28.0,0.78,0.65,0.62,0.82,mixed
SITE003,Meenangadi,11.6595,76.1668,Wayanad,Kerala,0.28,0.32,7,790,0.80,5.0,8.0,1.0,0.45,24.5,0.88,0.82,0.80,0.92,mixed
SITE004,Nenmeni,11.7040,76.2790,Wayanad,Kerala,0.25,0.30,6,850,0.82,5.8,9.5,1.5,0.30,35.0,0.84,0.70,0.68,0.88,agricultural
SITE005,Noolpuzha,11.7160,76.3460,Wayanad,Kerala,0.32,0.40,9,870,0.70,4.2,7.0,2.8,0.18,40.0,0.76,0.55,0.52,0.78,agricultural
SITE006,Pulpally,11.8060,76.2560,Wayanad,Kerala,0.35,0.33,8,760,0.76,3.8,11.0,1.4,0.42,30.0,0.80,0.75,0.72,0.90,mixed
SITE007,Kambalakkad,11.7070,76.0130,Wayanad,Kerala,0.24,0.29,7,730,0.81,5.5,14.0,1.1,0.38,22.0,0.85,0.72,0.70,0.88,mixed
SITE008,Thavinjal,11.8280,76.1260,Wayanad,Kerala,0.38,0.45,12,850,0.65,3.2,15.0,3.0,0.20,38.0,0.74,0.58,0.55,0.75,agricultural
SITE009,Cherukattoor,11.7700,76.0600,Wayanad,Kerala,0.26,0.31,8,780,0.79,4.6,13.0,1.8,0.32,26.0,0.81,0.68,0.65,0.85,mixed
SITE010,Vellankolli,11.6928,76.1562,Wayanad,Kerala,0.29,0.36,9,767,0.74,4.0,10.0,2.2,0.28,34.0,0.79,0.66,0.63,0.84,agricultural
